objective,処理時間
286.3974519086942,13.303891897201538
307.3301264548481,12.082123756408691
289.6829131626058,12.9246346950531
305.678411502975,13.882843017578125
286.20813052913496,13.266942501068115
311.0652978075778,12.556041955947876
283.26709847143013,12.78889775276184
284.69876869162204,13.089390993118286
282.8014758605625,13.132662534713745
304.00335250179256,12.996058940887451
274.69128017132897,12.758963823318481
303.0207180811913,13.827916383743286
280.4649863003291,13.920008182525635
304.95530155896085,12.890510320663452
295.53362236394116,12.769092321395874
306.4018396022584,15.553199052810669
283.65327248811667,12.70024847984314
282.372711775069,12.91676378250122
292.82681906462346,14.23441743850708
307.232994125999,21.587190628051758
