objective,処理時間
271.58669731087565,34.75503444671631
266.9670163208905,26.940178871154785
265.6544643832299,28.12674641609192
278.5548675381905,29.38498044013977
256.8188081998585,28.328563451766968
266.6609224603374,28.065842628479004
253.05124199269667,27.85357666015625
260.82885145947796,27.405155897140503
261.8949375323498,27.295560121536255
266.5889291463467,27.722576379776
250.94144043611016,29.663635730743408
253.86303178228684,28.8391170501709
255.02864347140638,26.80617594718933
273.85626029849607,29.136979579925537
278.2346656283092,28.281083822250366
258.9594043373586,28.956947326660156
268.15952875031456,27.369386434555054
260.7843429618831,28.925718069076538
282.03912834953394,31.74680757522583
268.5849070939128,28.79111933708191
